candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000095_9911796e,centered-gaussian,120,120,1192.6,1125.5,681.1,1762.9,0.925,119.0038,3.5417,54.9583,1971.4417,1742,1105.8,2989.4,47.8583,0.3083,1.0083,0.2726,6715.1167,746.2395,432.0298,732.6802,-2600.159
centered_candidate_000005_876dfc8d,centered-gaussian,120,120,1237.1167,1193.5,675.7,1882.3,0.9083,118.7463,3.65,57.4083,1974.9083,1710,1111.4,2969.4,46.7,0.3083,1.0083,0.2741,6704.6833,762.6452,465.3216,730.0774,-2607.7529
centered_candidate_000012_03c8c45b,centered-gaussian,120,120,1234.5,1131,679.4,1973.3,0.9167,118.5438,3.6667,57.5833,1968.5167,1766.5,1099.4,3035,49.6167,0.3083,0.9583,0.2979,6720.95,767.4075,468.9109,715.6963,-2608.0707
centered_candidate_000061_a90b5724,centered-gaussian,120,120,1204.4667,1108.5,676,1853.4,0.9417,118.7925,3.5833,55.3833,1958.9333,1715.5,1104,2973.7,45.875,0.3167,1.0167,0.2616,6704.0417,755.4166,445.8327,726.2917,-2608.8667
centered_candidate_000019_c5873a7a,centered-gaussian,120,120,1226.2417,1138.5,681.5,1934.6,0.9333,118.4658,3.6417,56.6083,1962.875,1699.5,1098.8,2909.3,46.575,0.3,1,0.2769,6695.7167,778.7239,460.7441,709.4381,-2615.2574
centered_candidate_000007_136b8196,centered-gaussian,120,120,1205.6167,1158,676.5,1810.6,0.9417,118.5387,3.5583,55.8917,1945.8333,1734,1080,3007.1,45.9667,0.35,1,0.27,6720.1,758.2826,425.8421,700.8587,-2648.2616
general_top1-phased_4c3558ac,top1-phased,120,120,1213.375,1115.5,686.3,1891.6,0.9167,118.6021,3.6083,56.3083,1955.0167,1694,1104,2929.2,48.1917,0.325,1,0.2809,6754.7917,756.4028,466.8357,725.7986,-2686.8819
search_candidate_000051_38ddefb7,random-phased,120,120,1213.375,1115.5,686.3,1891.6,0.9167,118.6021,3.6083,56.3083,1955.0167,1694,1104,2929.2,48.1917,0.325,1,0.2809,6754.7917,756.4028,466.8357,725.7986,-2686.8819
centered_candidate_000066_27384b20,centered-gaussian,120,120,1191.8083,1132.5,657.5,1832.1,0.9417,119.0508,3.525,55.0333,1935.875,1666.5,1120.5,2893,45.5583,0.325,1.0417,0.2608,6763.15,728.001,431.0325,756.4995,-2699.5918
centered_candidate_000026_e75a1f21,centered-gaussian,120,120,1210.0333,1127,654.9,1888.5,0.8667,118.1804,3.6417,55.875,1939.275,1674.5,1103.8,3009.5,49.8417,0.35,0.9667,0.2928,6717.5417,756.771,458.5279,725.4145,-2700.3204
