candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000059_8891b833,centered-gaussian,240,240,1013.0708,1012,577.2,1480.1,0.8708,118.0004,3.1875,44.2917,70.9792,0.0875,1.825,0.3266,11779.8333,342.2789,406.0606,-8996.6249
centered_candidate_000152_d9d1409c,centered-gaussian,240,240,1010.6458,1002,581.4,1506.2,0.85,118.0546,3.1833,44.3167,71.7875,0.025,1.7042,0.3932,11775.775,342.2964,410.2518,-9017.4684
search_candidate_000133_768e5c0c,random-phased,240,240,985.5583,967,536.9,1512.8,0.7042,114.0719,3.2083,43.8042,79.7583,0.075,1.5583,0.4595,11557.225,376.4394,348.6803,-9029.7679
search_candidate_000034_8e1d3715,random-phased,240,240,935.6583,893.5,556.9,1451.8,0.675,112.6427,2.9875,41.8375,81.4292,0.1125,1.425,0.5086,11461.8667,358.9349,377.4326,-9030.7253
centered_candidate_000012_75fa89e5,centered-gaussian,240,240,943.025,913,539.7,1470.4,0.6333,112.2296,2.9583,42.9458,82.1792,0.1167,1.3958,0.5235,11438.525,359.0592,360.1704,-9045.7185
search_candidate_000174_87d98c6f,random-phased,240,240,973.9125,877,520.7,1607,0.5542,110.3075,3.2,44.175,86.6833,0.1417,1.325,0.5684,11384.95,412.3438,314.5281,-9084.2796
centered_candidate_000067_b0c4ed7a,centered-gaussian,240,240,955.7542,912.5,550.7,1470.2,0.6542,113.6652,3.0958,42.825,83.0208,0.1042,1.4875,0.4832,11525.7125,348.4103,376.4948,-9088.6637
search_candidate_000042_e517b6ff,random-phased,240,240,984.3875,919.5,573.6,1482,0.7167,113.3854,3.0917,44.4292,79.3667,0.0958,1.4875,0.4863,11645.125,367.4344,389.8828,-9098.9277
centered_candidate_000107_44766718,centered-gaussian,240,240,980.1917,914,583.6,1494.1,0.6917,113.4446,3.075,44.4125,79.825,0.1083,1.5083,0.4802,11650.1,374.4766,396.3617,-9129.257
search_candidate_000014_61b700ac,random-phased,240,240,1066.8375,1018.5,595,1636.2,0.8292,116.4919,3.4208,47.0167,75.175,0.0875,1.7417,0.3872,11930.9833,405.3254,392.3373,-9130.7942
search_candidate_000206_9197e789,random-phased,240,240,1040.9458,1015,569.8,1514.4,0.8458,117.7735,3.2833,46.0208,72.1083,0.05,1.8167,0.3546,11958.8375,371.5664,384.0168,-9183.0316
centered_candidate_000108_a6b937c5,centered-gaussian,240,240,935.7125,857,534,1422.5,0.6292,112.1896,3.0625,42.0625,85.1542,0.0958,1.4208,0.5278,11532.3458,362.8613,352.5694,-9184.3389
centered_candidate_000155_6101b41e,centered-gaussian,240,240,994.9167,979.5,563,1544.3,0.825,117.2598,3.1333,44.0083,74.425,0.0333,1.6875,0.4099,11886.4875,358.768,383.616,-9198.1744
centered_candidate_000219_91f7260a,centered-gaussian,240,240,973.275,917.5,541.8,1504.3,0.6333,111.9165,3.1125,44.0375,81.8792,0.1167,1.4708,0.513,11639.4333,378.4529,352.5735,-9216.3256
search_candidate_000194_c7c3ec8e,random-phased,240,240,1025.0375,981.5,601.4,1561.2,0.7125,113.4642,3.2667,46.2167,80.6958,0.125,1.5708,0.4627,11858.7917,382.7234,410.0383,-9225.9288
search_candidate_000003_e934f23d,random-phased,240,240,895.9833,847.5,523,1301.4,0.6333,111.3285,2.7958,40.5458,81.7792,0.0958,1.4,0.5311,11537.1625,325.616,360.192,-9230.819
centered_candidate_000145_a9e2c28e,centered-gaussian,240,240,976.3708,973.5,559.7,1443.1,0.8583,117.6042,3.075,42.9708,73.5208,0.0375,1.7292,0.3993,11949.4292,324.5208,397.4396,-9245.1192
centered_candidate_000006_575bb6e3,centered-gaussian,240,240,977.9833,913,557.4,1546.9,0.6625,113.9183,3.1625,43.7208,84.0375,0.1042,1.525,0.4927,11730.3375,374.3297,370.2352,-9262.3001
search_candidate_000057_cf3d6f13,random-phased,240,240,967.875,924,571.6,1450.2,0.6458,112.1617,3.0917,43.5958,80.9958,0.1333,1.4875,0.5027,11724.1458,358.4531,392.3735,-9262.8481
search_candidate_000093_63707f47,random-phased,240,240,1012.1667,992,591.2,1478.7,0.8333,117.9008,3.2583,44.225,74.8542,0.0583,1.7833,0.3785,12028.5167,341.8245,420.2877,-9282.4216
centered_candidate_000195_f0c42b4b,centered-gaussian,240,240,943.5375,921,536.9,1403.5,0.8083,116.2662,2.9625,41.8458,74.7958,0.075,1.6792,0.4193,11873.8583,338.268,367.766,-9299.6211
centered_candidate_000012_d22e6c69,centered-gaussian,240,240,1014.0792,996.5,576.4,1520,0.8625,117.7933,3.2125,44.7292,74.925,0.0208,1.75,0.3967,12104.65,364.177,394.3115,-9341.5362
